Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A060433,Boots,Cat,Neutered Male,,,Domestic Shorthair,Brown Tabby,,04/14/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,04/16/2021,Wednesday,Friday
A060434,,Dog,Spayed Female,5,,Dachshund,Silver,991001002434208,04/15/2021,Stray,Over the Counter,Foster,FINDER,04/15/2021,Thursday,Thursday
A060434,,Dog,Spayed Female,5,,Dachshund,Silver,991001002434208,04/27/2021,Foster,Over the Counter,Transfer,,04/27/2021,Tuesday,Tuesday
A060435,,Cat,Spayed Female,1,,Domestic Shorthair,Calico,981020023551023,04/15/2021,Stray,Over the Counter,Return to Owner,,04/21/2021,Thursday,Wednesday
A060451,Ginny,Cat,Spayed Female,,,Domestic Shorthair,Black,,04/16/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/16/2021,Friday,Friday
A060451,Ginny,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043118902,06/24/2021,Foster,Over the Counter,Foster,Adoption,06/26/2021,Thursday,Saturday
A060451,Ginny,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043118902,10/03/2021,Foster,Over the Counter,Adoption,Walk-In,10/03/2021,Sunday,Sunday
A060467,Daisy,Cat,Spayed Female,,,Domestic Shorthair,Dilute Tortoiseshell,981020043151620,01/08/2022,Foster,Over the Counter,Adoption,Walk-In,01/08/2022,Saturday,Saturday
A060467,Daisy,Cat,Spayed Female,,,Domestic Shorthair,Dilute Tortoiseshell,,05/05/2021,Foster,Over the Counter,Foster,,05/05/2021,Wednesday,Wednesday
A060467,Daisy,Cat,Spayed Female,,,Domestic Shorthair,Dilute Tortoiseshell,,05/03/2021,Foster,Over the Counter,Foster,Illness Minor,05/03/2021,Monday,Monday
A060467,Daisy,Cat,Spayed Female,,,Domestic Shorthair,Dilute Tortoiseshell,981020043151620,06/29/2021,Foster,Over the Counter,Foster,Adoption,07/01/2021,Tuesday,Thursday
A060467,Daisy,Cat,Spayed Female,,,Domestic Shorthair,Dilute Tortoiseshell,981020043151620,07/11/2021,Foster,Over the Counter,Foster,Adoption,07/11/2021,Sunday,Sunday
A060467,Daisy,Cat,Spayed Female,,,Domestic Shorthair,Dilute Tortoiseshell,,04/18/2021,Owner Surrendered,Over the Counter,Foster,,04/18/2021,Sunday,Sunday
A060468,Delia,Cat,Spayed Female,,,Domestic Shorthair,Black,,04/18/2021,Owner Surrendered,Over the Counter,Foster,,04/18/2021,Sunday,Sunday
A060468,Delia,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043094849,06/29/2021,Foster,Over the Counter,Foster,Adoption,07/01/2021,Tuesday,Thursday
A060468,Delia,Cat,Spayed Female,,,Domestic Shorthair,Black,,05/03/2021,Foster,Over the Counter,Foster,Illness Minor,05/03/2021,Monday,Monday
A060468,Delia,Cat,Spayed Female,,,Domestic Shorthair,Black,,05/05/2021,Foster,Over the Counter,Foster,,05/05/2021,Wednesday,Wednesday
A060468,Delia,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043094849,08/26/2021,Foster,Over the Counter,Adoption,Walk-In,08/26/2021,Thursday,Thursday
A060469,,Cat,Male,,,Domestic Shorthair,Gray Tabby,,04/28/2021,Foster,Over the Counter,Disposal of Deceased Pet,,04/28/2021,Wednesday,Wednesday
A060469,,Cat,Male,,,Domestic Shorthair,Gray Tabby,,04/18/2021,Owner Surrendered,Over the Counter,Foster,,04/18/2021,Sunday,Sunday
A060476,,Cat,Male,,1.0,Domestic Shorthair,Buff,,04/19/2021,Stray,Over the Counter,Foster,FINDER,04/19/2021,Monday,Monday
A060476,,Cat,Male,,1.0,Domestic Shorthair,Buff,,04/25/2021,Foster,Over the Counter,Transfer,Rescue Group,04/25/2021,Sunday,Sunday
A060477,,Cat,Male,,1.0,Domestic Shorthair,Buff,,04/25/2021,Foster,Over the Counter,Transfer,Rescue Group,04/25/2021,Sunday,Sunday
A060477,,Cat,Male,,1.0,Domestic Shorthair,Buff,,04/19/2021,Stray,Over the Counter,Foster,FINDER,04/19/2021,Monday,Monday
A060478,,Cat,Male,,1.0,Domestic Shorthair,Buff,,04/19/2021,Stray,Over the Counter,Foster,FINDER,04/19/2021,Monday,Monday
A060478,,Cat,Male,,1.0,Domestic Shorthair,Buff,,04/25/2021,Foster,Over the Counter,Transfer,Rescue Group,04/25/2021,Sunday,Sunday
A060479,,Cat,Female,,1.0,Domestic Shorthair,Buff,,04/25/2021,Foster,Over the Counter,Transfer,Rescue Group,04/25/2021,Sunday,Sunday
A060479,,Cat,Female,,1.0,Domestic Shorthair,Buff,,04/19/2021,Stray,Over the Counter,Foster,FINDER,04/19/2021,Monday,Monday
A060487,Shaggy,Dog,Neutered Male,10,6.0,Yorkshire Terrier,Tan,039362513,04/20/2021,Transfer,Transfer,Transfer,Rescue Group,05/05/2021,Tuesday,Wednesday
A060488,,Other,Male,2,,Opossum,Cream,,04/20/2021,Disposal Request of Deceased Pet,Animal Control,Disposal of Deceased Pet,,04/20/2021,Tuesday,Tuesday
A060505,Yam,Cat,Spayed Female,,0.5,Domestic Shorthair,Tortie,,04/23/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/23/2021,Friday,Friday
A060505,Yam,Cat,Spayed Female,,0.5,Domestic Shorthair,Tortie,981020043113189,07/03/2021,Foster,Over the Counter,Adoption,Walk-In,07/10/2021,Saturday,Saturday
A060506,Di-Vine,Cat,Spayed Female,,0.5,Domestic Shorthair,Tortie,981020043117478,07/03/2021,Foster,Over the Counter,Foster,Adoption,07/07/2021,Saturday,Wednesday
A060506,Di-Vine,Cat,Spayed Female,,0.5,Domestic Shorthair,Tortie,,04/23/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/23/2021,Friday,Friday
A060506,Di-Vine,Cat,Spayed Female,,0.5,Domestic Shorthair,Tortie,60748,09/01/2021,Foster,Over the Counter,Adoption,Walk-In,09/01/2021,Wednesday,Wednesday
A060507,,Cat,Male,,0.5,Domestic Shorthair,Orange Tabby,,04/30/2021,Foster,Over the Counter,Euthanized,Vet Clinic,04/30/2021,Friday,Friday
A060507,,Cat,Male,,0.5,Domestic Shorthair,Orange Tabby,,04/23/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/23/2021,Friday,Friday
A060508,Daisy,Dog,Spayed Female,5,,Chihuahua Short Hair,Tan,981020023622143,04/23/2021,Stray,Animal Control,Adoption,Walk-In,05/04/2021,Friday,Tuesday
A060520,Sparky,Cat,Neutered Male,,,Domestic Shorthair,Black,,04/24/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,04/24/2021,Saturday,Saturday
A060520,Sparky,Cat,Neutered Male,,,Domestic Shorthair,Black,,05/29/2021,Foster,Over the Counter,Foster,Underage or Underweight,05/29/2021,Saturday,Saturday
A060520,Sparky,Cat,Neutered Male,,,Domestic Shorthair,Black,981020025475597,07/21/2021,Foster,Over the Counter,Adoption,Walk-In,07/21/2021,Wednesday,Wednesday
A060520,Sparky,Cat,Neutered Male,,,Domestic Shorthair,Black,981020025475597,06/20/2021,Foster,Over the Counter,Foster,Adoption,06/20/2021,Sunday,Sunday
A060521,Mia,Cat,Spayed Female,,,Domestic Shorthair,Dilute Calico,,05/29/2021,Foster,Over the Counter,Foster,Underage or Underweight,05/29/2021,Saturday,Saturday
A060521,Mia,Cat,Spayed Female,,,Domestic Shorthair,Dilute Calico,981020023595113,08/23/2021,Foster,Over the Counter,Adoption,Walk-In,08/23/2021,Monday,Monday
A060521,Mia,Cat,Spayed Female,,,Domestic Shorthair,Dilute Calico,,04/24/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,04/24/2021,Saturday,Saturday
A060521,Mia,Cat,Spayed Female,,,Domestic Shorthair,Dilute Calico,981020023595113,07/08/2021,Foster,Over the Counter,Foster,Adoption,07/09/2021,Thursday,Friday
A060544,Julius,Cat,Neutered Male,2,,Domestic Shorthair,Orange Tabby,981020025471631,04/27/2021,Stray,Over the Counter,Adoption,Walk-In,05/12/2021,Tuesday,Wednesday
A060553,Kevin,Cat,Neutered Male,,,Domestic Shorthair,Gray,,04/27/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Tuesday,Wednesday
A060553,Kevin,Cat,Neutered Male,,,Domestic Shorthair,Gray,981020043146396,07/02/2021,Foster,Over the Counter,Foster,Adoption,07/03/2021,Friday,Saturday
A060553,Kevin,Cat,Neutered Male,,,Domestic Shorthair,Gray,981020043146396,07/30/2021,Foster,Over the Counter,Adoption,,07/30/2021,Friday,Friday
A060554,Harley,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043104255,08/05/2021,Foster,Over the Counter,Adoption,Walk-In,08/05/2021,Thursday,Thursday
A060554,Harley,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043104255,07/02/2021,Foster,Over the Counter,Foster,Adoption,07/06/2021,Friday,Tuesday
A060554,Harley,Cat,Spayed Female,,,Domestic Shorthair,Black,,04/27/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Tuesday,Wednesday
A060555,Mabel,Cat,Spayed Female,5,,Domestic Shorthair,Dilute Calico,981020017667360,04/28/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,05/12/2021,Wednesday,Wednesday
A060557,Shadow,Dog,Neutered Male,5,,Labrador Retriever,Black,981020023600787,04/28/2021,Owner Surrendered,OTC APPT,Adoption,,05/15/2021,Wednesday,Saturday
A060557,Shadow,Dog,Neutered Male,5,,Labrador Retriever,Black,981020023600787,05/17/2021,Transfer,Transfer,Foster,M/L DOG,05/23/2021,Monday,Sunday
A060557,Shadow,Dog,Neutered Male,5,,Labrador Retriever,Black,981020023600787,06/05/2021,Foster,,Adoption,Walk-In,07/01/2021,Saturday,Thursday
A060558,Leia,Dog,Female,2,,Pug,Fawn,985112005970634,04/28/2021,Stray,Over the Counter,Return to Owner,Walk-In,04/28/2021,Wednesday,Wednesday
A060560,Gibby,Cat,Spayed Female,,,Domestic Shorthair,Gray,,04/28/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Wednesday,Wednesday
A060560,Gibby,Cat,Spayed Female,,,Domestic Shorthair,Gray,981020025499806,07/22/2021,Foster,Over the Counter,Adoption,Walk-In,07/22/2021,Thursday,Thursday
A060560,Gibby,Cat,Spayed Female,,,Domestic Shorthair,Gray,981020025499806,06/19/2021,Foster,Over the Counter,Foster,Adoption,06/19/2021,Saturday,Saturday
A060563,Ludacris,Cat,Neutered Male,,,Domestic Shorthair,White,981020023598812,06/19/2021,Foster,Over the Counter,Foster,Adoption,06/19/2021,Saturday,Saturday
A060563,Ludacris,Cat,Neutered Male,,,Domestic Shorthair,White,981020023598812,07/29/2021,Foster,Over the Counter,Adoption,Walk-In,07/29/2021,Thursday,Thursday
A060563,Ludacris,Cat,Neutered Male,,,Domestic Shorthair,White,,04/28/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Wednesday,Wednesday
A060564,Maze,Cat,Male,,,Domestic Shorthair,Black,,04/28/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Wednesday,Wednesday
A060564,Maze,Cat,Male,,,Domestic Shorthair,Black,,07/23/2021,Foster,Over the Counter,Foster,Adoption,07/23/2021,Friday,Friday
A060564,Maze,Cat,Male,,,Domestic Shorthair,Black,,09/08/2021,Foster,Over the Counter,Adoption,Walk-In,09/08/2021,Wednesday,Wednesday
A060565,Mando,Cat,Neutered Male,,2.1,Domestic Shorthair,Black,,04/28/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Wednesday,Wednesday
A060565,Mando,Cat,Neutered Male,,2.1,Domestic Shorthair,Black,981020023648878,06/09/2021,Foster,Over the Counter,Foster,Adoption,06/11/2021,Wednesday,Friday
A060565,Mando,Cat,Neutered Male,,2.1,Domestic Shorthair,Black,981020023648878,09/08/2021,Foster,Over the Counter,Adoption,Walk-In,09/08/2021,Wednesday,Wednesday
A060566,Rocky,Cat,Neutered Male,,2.1,Domestic Shorthair,Black,981020025501320,06/09/2021,Foster,Over the Counter,Foster,Adoption,06/11/2021,Wednesday,Friday
A060566,Rocky,Cat,Neutered Male,,2.1,Domestic Shorthair,Black,,04/28/2021,Stray,Over the Counter,Foster,Underage or Underweight,04/28/2021,Wednesday,Wednesday
A060566,Rocky,Cat,Neutered Male,,2.1,Domestic Shorthair,Black,981020025501320,07/06/2021,Foster,Over the Counter,Adoption,Walk-In,07/06/2021,Tuesday,Tuesday
A060587,Petunia,Cat,Spayed Female,5,,Domestic Shorthair,Gray Tabby,981020025500327,05/01/2021,Stray,Over the Counter,Foster,Behavior Manageable,05/25/2021,Saturday,Tuesday
A060587,Petunia,Cat,Spayed Female,5,,Domestic Shorthair,Gray Tabby,981020025500327,06/28/2021,Foster,Over the Counter,Transfer,Private Animal Shelter,02/10/2022,Monday,Thursday
A060587,Petunia,Cat,Spayed Female,5,,Domestic Shorthair,Gray Tabby,981020025500327,06/17/2021,Foster,Over the Counter,Foster,,06/17/2021,Thursday,Thursday
A060598,Cher,Dog,Spayed Female,,,Pit Bull,Tan,981020025480754,05/02/2021,Owner Surrendered,OTC APPT,Foster,Adoption,05/05/2021,Sunday,Wednesday
A060598,Cher,Dog,Spayed Female,,,Pit Bull,Tan,981020025480754,05/26/2021,Foster,Over the Counter,Adoption,Walk-In,05/26/2021,Wednesday,Wednesday
A060599,Nino,Cat,Neutered Male,1,,Domestic Shorthair,Brown Tabby,981020023580670,05/02/2021,Stray,Over the Counter,Return to Owner,Phone Call,05/03/2021,Sunday,Monday
A060600,Kisa,Cat,Spayed Female,1,,Domestic Shorthair,Black,,05/02/2021,Stray,Over the Counter,Foster,Pregnant,05/05/2021,Sunday,Wednesday
A060600,Kisa,Cat,Spayed Female,1,,Domestic Shorthair,Black,981020043111502,06/24/2021,Foster,Over the Counter,Foster,Adoption,06/27/2021,Thursday,Sunday
A060600,Kisa,Cat,Spayed Female,1,,Domestic Shorthair,Black,981020043111502,09/14/2021,Foster,Over the Counter,Adoption,Walk-In,09/14/2021,Tuesday,Tuesday
A060609,Mamoru Chiba,Cat,Neutered Male,2,,Domestic Shorthair,Gray,981020025490113,06/14/2023,Owner Surrendered,OTC APPT,Adoption,Walk-In,07/19/2023,Wednesday,Wednesday
A060609,Mamoru Chiba,Cat,Neutered Male,2,,Domestic Shorthair,Gray,981020025490113,05/03/2021,Stray,Over the Counter,Foster,Adoption,05/10/2021,Monday,Monday
A060609,Mamoru Chiba,Cat,Neutered Male,2,,Domestic Shorthair,Gray,981020025490113,05/18/2021,Foster,Over the Counter,Adoption,Walk-In,05/18/2021,Tuesday,Tuesday
A060611,Elsa,Cat,Spayed Female,,0.3,Domestic Shorthair,Gray,,05/03/2021,Stray,Over the Counter,Foster,Underage or Underweight,05/03/2021,Monday,Monday
A060611,Elsa,Cat,Spayed Female,,0.3,Domestic Shorthair,Gray,981020041881275,06/24/2021,Foster,Over the Counter,Foster,Adoption,06/24/2021,Thursday,Thursday
A060611,Elsa,Cat,Spayed Female,,0.3,Domestic Shorthair,Gray,981020041881275,07/30/2021,Foster,Over the Counter,Adoption,Walk-In,07/30/2021,Friday,Friday
A060626,Puddin,Dog,Spayed Female,2,,Chihuahua Short Hair,Black,982126054275191,05/04/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,05/11/2021,Tuesday,Tuesday
A060629,,Cat,Female,,10.0,Domestic Shorthair,Gray Tiger,,05/05/2021,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,05/05/2021,Wednesday,Wednesday
A060630,Coco,Dog,Female,1,,Pit Bull,Brown Brindle,,05/05/2021,Owner Surrendered,Animal Control,Transfer,Private Animal Shelter,05/06/2021,Wednesday,Thursday
A060631,Dakota,Cat,Neutered Male,2,,Domestic Shorthair,Black,981020039188431,05/05/2021,Stray,Over the Counter,Adoption,Walk-In,05/29/2021,Wednesday,Saturday
A060633,Cricket,Cat,Neutered Male,,0.9,Domestic Shorthair,Orange Tabby,981020023565129,05/05/2021,Stray,Over the Counter,Foster,Underage or Underweight,05/05/2021,Wednesday,Wednesday
A060633,Cricket,Cat,Neutered Male,,0.9,Domestic Shorthair,Orange Tabby,981020023565129,07/12/2021,Foster,Over the Counter,Adoption,Referral,07/12/2021,Monday,Monday
A060642,Ellen,Dog,Spayed Female,4,,Pit Bull,Tan,981020023684848,05/06/2021,Stray,Over the Counter,Adoption,Walk-In,05/19/2021,Thursday,Wednesday
A060643,Shuri,Cat,Spayed Female,,4.0,Domestic Shorthair,Brown Tabby,981020025540923,05/06/2021,Stray,Over the Counter,Foster,Adoption,05/12/2021,Thursday,Wednesday
A060643,Shuri,Cat,Spayed Female,,4.0,Domestic Shorthair,Brown Tabby,981020025540923,05/18/2021,Foster,Over the Counter,Adoption,Walk-In,05/18/2021,Tuesday,Tuesday
A060644,King,Cat,Neutered Male,,4.0,Domestic Shorthair,Brown Tabby,981020023565552,05/18/2021,Foster,Over the Counter,Adoption,Walk-In,05/18/2021,Tuesday,Tuesday
A060644,King,Cat,Neutered Male,,4.0,Domestic Shorthair,Brown Tabby,981020023565552,05/06/2021,Stray,Over the Counter,Foster,Adoption,05/12/2021,Thursday,Wednesday
A060644,King,Cat,Neutered Male,,4.0,Domestic Shorthair,Brown Tabby,981020023565552,01/14/2022,Stray,Over the Counter,Transfer,Private Animal Shelter,01/28/2022,Friday,Friday
A060645,Ozzy,Dog,Neutered Male,,6.0,Labrador Retriever,Chocolate,981020025508258,05/06/2021,Owner Surrendered,OTC APPT,Adoption,,05/08/2021,Thursday,Saturday
A060651,Nino,Dog,Neutered Male,1,,Pit Bull,Brown,981020023582562,05/07/2021,Owner Surrendered,Over the Counter,Foster,Adoption,05/12/2021,Friday,Wednesday
A060651,Nino,Dog,Neutered Male,1,,Pit Bull,Brown,981020023582562,05/07/2021,Owner Surrendered,Over the Counter,Foster,Adoption,05/12/2021,Friday,Wednesday
A060651,Nino,Dog,Neutered Male,1,,Pit Bull,Brown,981020023582562,05/20/2021,Foster,Over the Counter,Adoption,,05/24/2021,Thursday,Monday
A060667,Zoey,Dog,Spayed Female,1,,Standard Poodle,Black,982091062241385,05/08/2021,Stray,Over the Counter,Return to Owner,Microchip,05/08/2021,Saturday,Saturday
A060668,,Cat,Male,4,,Domestic Shorthair,Black,,05/08/2021,Stray,Animal Control,Unassisted Death,Enroute,05/08/2021,Saturday,Saturday
A060671,Piper,Cat,Female,,1.65,Domestic Shorthair,Brown Tabby,,05/13/2021,Foster,Over the Counter,Foster,Underage or Underweight,05/15/2021,Thursday,Saturday
A060671,Piper,Cat,Female,,1.65,Domestic Shorthair,Brown Tabby,,05/09/2021,Stray,Over the Counter,Foster,FINDER,05/09/2021,Sunday,Sunday
A060671,Piper,Cat,Female,,1.65,Domestic Shorthair,Brown Tabby,,06/11/2021,Foster,Over the Counter,Euthanized,Illness Severe,06/18/2021,Friday,Friday
A060684,Mittens,Cat,Spayed Female,1,6.0,Domestic Shorthair,Black,981020023600779,05/10/2021,Owner Surrendered,Over the Counter,Foster,Adoption,05/12/2021,Monday,Wednesday
A060684,Mittens,Cat,Spayed Female,1,6.0,Domestic Shorthair,Black,981020023600779,05/26/2021,Foster,Over the Counter,Adoption,Walk-In,05/26/2021,Wednesday,Wednesday
A060689,,Cat,Female,2,,Domestic Shorthair,Calico,,05/11/2021,Stray,Over the Counter,Foster,FINDER,05/11/2021,Tuesday,Tuesday
A060689,,Cat,Female,2,,Domestic Shorthair,Calico,,10/06/2021,Foster,Over the Counter,Transfer,Rescue Group,10/06/2021,Wednesday,Wednesday
A060698,Dehlia May,Cat,Spayed Female,,6.0,Domestic Shorthair,Gray,A981020039184277,05/12/2021,Stray,Over the Counter,Adoption,,05/28/2021,Wednesday,Friday
A060699,Clark Kent,Cat,Neutered Male,,2.85,Domestic Shorthair,Black,981020039162483,05/12/2021,Stray,Over the Counter,Foster,Adoption,05/23/2021,Wednesday,Sunday
A060699,Clark Kent,Cat,Neutered Male,,2.85,Domestic Shorthair,Black,981020039162483,06/02/2021,Foster,Over the Counter,Adoption,Walk-In,06/02/2021,Wednesday,Wednesday
A060702,Gizmo,Dog,Neutered Male,10,,Shih Tzu,Black,61068,05/13/2021,Stray,Over the Counter,Foster,Adoption,05/19/2021,Thursday,Wednesday
A060702,Gizmo,Dog,Neutered Male,10,,Shih Tzu,Black,61068,05/26/2021,Foster,Over the Counter,Adoption,Walk-In,05/26/2021,Wednesday,Wednesday
A060704,Wilbur,Cat,Neutered Male,,1.0,Domestic Shorthair,Orange Tabby,,05/13/2021,Stray,Animal Control,Foster,Underage or Underweight,05/13/2021,Thursday,Thursday
A060704,Wilbur,Cat,Neutered Male,,1.0,Domestic Shorthair,Orange Tabby,981020023563999,07/22/2021,Foster,Over the Counter,Adoption,Walk-In,07/22/2021,Thursday,Thursday
A060704,Wilbur,Cat,Neutered Male,,1.0,Domestic Shorthair,Orange Tabby,981020023563999,06/15/2021,Foster,Over the Counter,Foster,Adoption,06/15/2021,Tuesday,Tuesday
A060707,,Bird,Unknown,,0.5,Mockingbird,Brown,,05/13/2021,Stray,Over the Counter,Transfer,,05/13/2021,Thursday,Thursday
A060712,,Cat,Spayed Female,2,,Domestic Shorthair,Gray,981020045590417,05/13/2021,Owner Surrendered,Animal Control,Foster,Underage or Underweight,05/14/2021,Thursday,Friday
A060712,,Cat,Spayed Female,2,,Domestic Shorthair,Gray,981020045590417,02/02/2022,Foster,Over the Counter,Adoption,Referral,02/02/2022,Wednesday,Wednesday
A060713,Berlioz,Cat,Neutered Male,,1.0,Domestic Shorthair,Black,,05/13/2021,Owner Surrendered,Animal Control,Foster,Underage or Underweight,05/14/2021,Thursday,Friday
A060713,Berlioz,Cat,Neutered Male,,1.0,Domestic Shorthair,Black,981020043658112,08/18/2021,Foster,Over the Counter,Adoption,Walk-In,08/18/2021,Wednesday,Wednesday
A060718,Eris,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043083171,07/23/2021,Foster,Over the Counter,Foster,Adoption,07/25/2021,Friday,Sunday
A060718,Eris,Cat,Spayed Female,,,Domestic Shorthair,Black,,05/13/2021,Owner Surrendered,Animal Control,Foster,Underage or Underweight,05/14/2021,Thursday,Friday
A060718,Eris,Cat,Spayed Female,,,Domestic Shorthair,Black,981020043083171,09/14/2021,Foster,Over the Counter,Adoption,Walk-In,09/14/2021,Tuesday,Tuesday
A060726,,Bird,Unknown,,,Other Bird,Tan,,05/14/2021,Stray,Over the Counter,Euthanized,Wildlife,05/14/2021,Friday,Friday
A060727,Peanut,Cat,Neutered Male,,1.25,Domestic Shorthair,Orange Tabby,,05/14/2021,Stray,Over the Counter,Foster,,05/14/2021,Friday,Friday
A060727,Peanut,Cat,Neutered Male,,1.25,Domestic Shorthair,Orange Tabby,981020023689671,06/20/2021,Foster,Over the Counter,Foster,Adoption,06/20/2021,Sunday,Sunday
A060727,Peanut,Cat,Neutered Male,,1.25,Domestic Shorthair,Orange Tabby,981020023689671,08/17/2021,Foster,Over the Counter,Adoption,FINDER,08/17/2021,Tuesday,Tuesday
A060730,Smudge,Cat,Neutered Male,,,Domestic Shorthair,White,981020023625315,07/29/2021,Foster,Over the Counter,Adoption,Walk-In,07/29/2021,Thursday,Thursday
A060730,Smudge,Cat,Neutered Male,,,Domestic Shorthair,White,,05/14/2021,Stray,Over the Counter,Foster,Underage or Underweight,05/15/2021,Friday,Saturday
A060730,Smudge,Cat,Neutered Male,,,Domestic Shorthair,White,981020023625315,06/17/2021,Foster,Over the Counter,Foster,Adoption,06/19/2021,Thursday,Saturday
A060731,Dipstick,Cat,Spayed Female,,,Domestic Shorthair,White,981020025523695,06/17/2021,Foster,Over the Counter,Foster,Adoption,06/17/2021,Thursday,Thursday
A060731,Dipstick,Cat,Spayed Female,,,Domestic Shorthair,White,981020025523695,05/14/2021,Stray,Over the Counter,Foster,Underage or Underweight,05/15/2021,Friday,Saturday
A060731,Dipstick,Cat,Spayed Female,,,Domestic Shorthair,White,981020025523695,07/22/2021,Foster,Over the Counter,Adoption,Walk-In,07/22/2021,Thursday,Thursday
A060732,Bellatrix,Cat,Spayed Female,,,Domestic Shorthair,Torbie,981020045133822,09/22/2021,Foster,Over the Counter,Adoption,Walk-In,09/22/2021,Wednesday,Wednesday
A060732,Bellatrix,Cat,Spayed Female,,,Domestic Shorthair,Torbie,,05/14/2021,Stray,Over the Counter,Foster,Underage or Underweight,05/15/2021,Friday,Saturday
A060732,Bellatrix,Cat,Spayed Female,,,Domestic Shorthair,Torbie,,09/09/2021,Stray,Over the Counter,Foster,Adoption,09/09/2021,Thursday,Thursday
A060733,,Dog,Neutered Male,8,,Labrador Retriever,Silver,981020023582228,05/14/2021,Stray,Animal Control,Adoption,Walk-In,05/25/2021,Friday,Tuesday
A060748,,Other,Male,,6.0,Guinea Pig,Tricolor,,05/16/2021,Stray,Animal Control,Adoption,Referral,05/30/2021,Sunday,Sunday
A060757,Myra,Cat,Spayed Female,3,,Domestic Medium Hair,Torbie,981020039158505,05/17/2021,Owner Surrendered,Over the Counter,Foster,Adoption,05/20/2021,Monday,Thursday
A060757,Myra,Cat,Spayed Female,3,,Domestic Medium Hair,Torbie,981020039158505,06/08/2021,Foster,Over the Counter,Adoption,Walk-In,06/08/2021,Tuesday,Tuesday
A060759,Nyx,Dog,Spayed Female,,10.0,Labrador Retriever,Black,981020023616990,05/18/2021,Stray,Animal Control,Foster,Adoption,05/24/2021,Tuesday,Monday
A060759,Nyx,Dog,Spayed Female,,10.0,Labrador Retriever,Black,981020023616990,06/09/2021,Foster,Over the Counter,Adoption,Walk-In,06/09/2021,Wednesday,Wednesday
A060769,Gracie Mae,Dog,Spayed Female,2,,Australian Cattle dog,Blue Merle,981020025535897,06/02/2021,Foster,Over the Counter,Adoption,Walk-In,06/02/2021,Wednesday,Wednesday
A060769,Gracie Mae,Dog,Spayed Female,2,,Australian Cattle dog,Blue Merle,981020025535897,05/18/2021,Transfer,Transfer,Foster,Adoption,05/21/2021,Tuesday,Friday
A060780,,Cat,Female,,,Domestic Shorthair,Gray Tabby,,05/20/2021,Stray,Over the Counter,Foster,FINDER,05/20/2021,Thursday,Thursday
A060780,,Cat,Female,,,Domestic Shorthair,Gray Tabby,,07/27/2021,Foster,Over the Counter,Transfer,Rescue Group,07/27/2021,Tuesday,Tuesday
A060785,Max,Dog,Neutered Male,1,6.0,German Shepard,Fawn,981020039197319,05/20/2021,Transfer,Transfer,Foster,Adoption,05/23/2021,Thursday,Sunday
A060785,Max,Dog,Neutered Male,1,6.0,German Shepard,Fawn,981020039197319,06/23/2021,Foster,Over the Counter,Adoption,Walk-In,06/23/2021,Wednesday,Wednesday
A060786,Pico,Dog,Neutered Male,2,,Redbone Coonhound,Red,981020039165622,05/20/2021,Transfer,Transfer,Foster,Adoption,05/23/2021,Thursday,Sunday
A060786,Pico,Dog,Neutered Male,2,,Redbone Coonhound,Red,981020039165622,06/02/2021,Foster,Over the Counter,Adoption,Walk-In,06/02/2021,Wednesday,Wednesday
A060798,Aphena,Cat,Spayed Female,,0.5,Domestic Shorthair,Gray Tabby,,05/20/2021,Stray,Over the Counter,Foster,Underage or Underweight,05/21/2021,Thursday,Friday
A060798,Aphena,Cat,Spayed Female,,0.5,Domestic Shorthair,Gray Tabby,981020043095713,07/24/2021,Foster,Over the Counter,Foster,Adoption,07/26/2021,Saturday,Monday
A060798,Aphena,Cat,Spayed Female,,0.5,Domestic Shorthair,Gray Tabby,981020043095713,09/14/2021,Foster,Over the Counter,Adoption,Walk-In,09/14/2021,Tuesday,Tuesday
